Date of rally,City,State,Venue,Estimated attendance,Source
"Friday, October 30, 2020",Rochester,MN,Rochester International Airport,,[519]
"Saturday, October 31, 2020",Newtown,PA,The Keith House,,
"Saturday, October 31, 2020",Reading,,Reading Regional Airport,,[520]
"Saturday, October 31, 2020",Butler,,Pittsburgh-Butler Regional Airport,,[521]
"Saturday, October 31, 2020",Montoursville,,Williamsport Regional Airport,,
"Sunday, November 1, 2020",Washington,MI,Michigan Stars Sports Center,,[522]
"Sunday, November 1, 2020",Dubuque,IA,Dubuque Regional Airport,,
"Sunday, November 1, 2020",Hickory,NC,Hickory Regional Airport,,
"Sunday, November 1, 2020",Rome,GA,Richard B. Russell Airport,,[522]
"Sunday, November 1, 2020",Opa-locka,FL,Miami-Opa Locka Executive Airport,,[522]
"Monday, November 2, 2020",Fayetteville,NC,Fayetteville Regional Airport,,
"Monday, November 2, 2020",Scranton,PA,Wilkes-Barre Scranton International Airport,,[522]
"Monday, November 2, 2020",Traverse City,MI,Cherry Capital Airport,,
"Monday, November 2, 2020",Kenosha,WI,Kenosha Regional Airport,,
"Monday, November 2, 2020",Grand Rapids,MI,Gerald R. Ford International Airport,,[522]
